image_file,event_name,year,category,location,source_url
flood/flood_kerala_2018_01.jpg,Kerala Floods,2018,flood,"Kerala, India",
flood/flood_kerala_2018_02.png,Kerala Floods,2018,flood,"Kerala, India",
flood/flood_kerala_2018_03.jpg,Kerala Floods,2018,flood,"Kerala, India",
flood/flood_kerala_2018_04.jpg,Kerala Floods,2018,flood,"Kerala, India",
flood/flood_kerala_2018_05.jpg,Kerala Floods,2018,flood,"Kerala, India",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/2018_Kerala_Floods_Collection_center_at_Nisagandhi_Thiruvananthapuram_.jpg/1280px-2018_Kerala_Floods_Collection_center_at_Nisagandhi_Thiruvananthapuram_.jpg
flood/flood_kerala_2018_06.png,Kerala Floods,2018,flood,"Kerala, India",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/2018_Kerala_Floods_Red_Alert_Districts.png/1280px-2018_Kerala_Floods_Red_Alert_Districts.png
flood/flood_kerala_2018_07.jpg,Kerala Floods,2018,flood,"Kerala, India",https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Field_Trip_Marottichal_after_Kerala_Flood_2018_Soil_Piping_IMG_9084.jpg/1280px-Field_Trip_Marottichal_after_Kerala_Flood_2018_Soil_Piping_IMG_9084.jpg
flood/flood_kerala_2018_08.jpg,Kerala Floods,2018,flood,"Kerala, India",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Field_Trip_Marottichal_after_Kerala_Flood_2018_Soil_Piping_IMG_9088.jpg/1280px-Field_Trip_Marottichal_after_Kerala_Flood_2018_Soil_Piping_IMG_9088.jpg
flood/flood_kerala_2018_09.jpg,Kerala Floods,2018,flood,"Kerala, India",https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Field_Trip_Marottichal_after_Kerala_Flood_2018_Soil_Piping_IMG_9100.jpg/1280px-Field_Trip_Marottichal_after_Kerala_Flood_2018_Soil_Piping_IMG_9100.jpg
flood/flood_kerala_2018_10.jpg,Kerala Floods,2018,flood,"Kerala, India",https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Field_Trip_Marottichal_after_Kerala_Flood_2018_Soil_Piping_IMG_9102.jpg/1280px-Field_Trip_Marottichal_after_Kerala_Flood_2018_Soil_Piping_IMG_9102.jpg
flood/flood_assam_2022_01.jpg,Assam Floods,2022,flood,"Assam, India",https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Adrian_Scottow%2C_Stilt_houses_on_Majuli_Island_%28Assam%29_IMG_7994.jpg/1280px-Adrian_Scottow%2C_Stilt_houses_on_Majuli_Island_%28Assam%29_IMG_7994.jpg
flood/flood_assam_2022_02.jpg,Assam Floods,2022,flood,"Assam, India",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/An_aerial_view_of_flood-affected_areas_of_Assam_on_July_02%2C_2012.jpg/1280px-An_aerial_view_of_flood-affected_areas_of_Assam_on_July_02%2C_2012.jpg
