video_stem,category,frame_path,frame_filename,frame_number
0on6Os_A9Oo_284_290,cyclone,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\extracted_frames\cyclone\0on6Os_A9Oo_284_290\frame_001.jpg,frame_001.jpg,1
0on6Os_A9Oo_284_290,cyclone,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\extracted_frames\cyclone\0on6Os_A9Oo_284_290\frame_002.jpg,frame_002.jpg,2
0on6Os_A9Oo_284_290,cyclone,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\extracted_frames\cyclone\0on6Os_A9Oo_284_290\frame_003.jpg,frame_003.jpg,3
0on6Os_A9Oo_284_290,cyclone,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\extracted_frames\cyclone\0on6Os_A9Oo_284_290\frame_004.jpg,frame_004.jpg,4
0PBhsPZtEnE_68_70,cyclone,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\extracted_frames\cyclone\0PBhsPZtEnE_68_70\frame_001.jpg,frame_001.jpg,1
0PBhsPZtEnE_68_70,cyclone,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\extracted_frames\cyclone\0PBhsPZtEnE_68_70\frame_002.jpg,frame_002.jpg,2
0PBhsPZtEnE_68_70,cyclone,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\extracted_frames\cyclone\0PBhsPZtEnE_68_70\frame_003.jpg,frame_003.jpg,3
0PBhsPZtEnE_68_70,cyclone,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\extracted_frames\cyclone\0PBhsPZtEnE_68_70\frame_004.jpg,frame_004.jpg,4
2MfGvnN4zgo_83_85,cyclone,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\extracted_frames\cyclone\2MfGvnN4zgo_83_85\frame_001.jpg,frame_001.jpg,1
2MfGvnN4zgo_83_85,cyclone,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\extracted_frames\cyclone\2MfGvnN4zgo_83_85\frame_002.jpg,frame_002.jpg,2
2MfGvnN4zgo_83_85,cyclone,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\extracted_frames\cyclone\2MfGvnN4zgo_83_85\frame_003.jpg,frame_003.jpg,3
2MfGvnN4zgo_83_85,cyclone,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\extracted_frames\cyclone\2MfGvnN4zgo_83_85\frame_004.jpg,frame_004.jpg,4
BQW07xCjz0E_142_146,cyclone,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\extracted_frames\cyclone\BQW07xCjz0E_142_146\frame_001.jpg,frame_001.jpg,1
BQW07xCjz0E_142_146,cyclone,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\extracted_frames\cyclone\BQW07xCjz0E_142_146\frame_002.jpg,frame_002.jpg,2
BQW07xCjz0E_142_146,cyclone,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\extracted_frames\cyclone\BQW07xCjz0E_142_146\frame_003.jpg,frame_003.jpg,3
